t;a;b;c;x;y;v
0.0000;;;;-0.0033;0.3190;
0.0333;;;;-0.0021;0.3184;0.0444
0.0667;;;;-0.0004;0.3184;0.0481
0.1000;;;;0.0009;0.3172;0.0932
0.1333;;;;0.0058;0.3180;0.1726
0.1667;;;;0.0124;0.3161;0.2176
0.2000;;;;0.0198;0.3145;0.2420
0.2333;;;;0.0283;0.3133;0.2848
0.2667;;;;0.0387;0.3124;0.3173
0.3000;;;;0.0492;0.3102;0.3494
0.3333;;;;0.0617;0.3086;0.3919
0.3667;;;;0.0750;0.3065;0.4246
0.4000;;;;0.0896;0.3039;0.4569
0.4333;;;;0.1051;0.3016;0.4886
0.4667;;;;0.1217;0.2985;0.5331
0.5000;;;;0.1400;0.2948;0.5847
0.5333;;;;0.1598;0.2904;0.6740
0.5667;;;;0.1843;0.2873;0.6873
0.6000;;;;0.2032;0.2757;0.8014
0.6333;;;;0.2324;0.2641;0.8996
0.6667;;;;0.2586;0.2526;0.9522
0.7000;;;;0.2903;0.2380;1.0616
0.7333;;;;0.3229;0.2231;1.1727
0.7667;;;;0.3628;0.2089;1.2663
0.8000;;;;0.4013;0.1918;1.2724
0.8333;;;;0.4435;0.1827;1.3322
0.8667;;;;0.4892;0.1787;1.3919
0.9000;;;;0.5363;0.1809;1.3636
0.9333;;;;0.5790;0.1928;1.2813
0.9667;;;;0.6195;0.2002;1.2190
1.0000;;;;0.6575;0.2138;1.1783
1.0333;;;;0.6934;0.2268;1.1325
1.0667;;;;0.7264;0.2446;1.0484
1.1000;;;;0.7586;0.2521;0.9426
1.1333;;;;0.7890;0.2500;0.9151
1.1667;;;;0.8196;0.2522;0.9254
1.2000;;;;0.8507;0.2515;0.9308
1.2333;;;;0.8816;0.2487;0.9749
1.2667;;;;0.9156;0.2482;0.9615
1.3000;;;;0.9448;0.2385;1.0537
1.3333;;;;0.9813;0.2233;1.1876
1.3667;;;;1.0186;0.2097;1.2345
1.4000;;;;1.0589;0.1958;1.3270
1.4333;;;;1.1031;0.1834;1.3700
1.4667;;;;1.1481;0.1765;1.4168
1.5000;;;;1.1963;0.1685;1.4711
1.5333;;;;1.2458;0.1675;1.4799
1.5667;;;;1.2950;0.1693;1.5418
1.6000;;;;1.3485;0.1708;
